provider,clips,wer,wer_spoken_punct_removed,wer_spoken_punct_share,drug_mentions,drug_accuracy,drug_hyp_mentions,drug_false_positives,drug_precision,drug_f1,drug_substitutions,doses,dose_value_accuracy,dose_value_errors,dose_unit_errors,negation_cues,negation_preservation,cost_per_audio_hour,median_latency_ms
aai,400,0.10012605678575921,0.10036397086443417,-0.0023761454941147683,179,0.9217877094972067,168,5,0.9702380952380952,0.9453925514526249,5,147,0.9251700680272109,3,2,172,0.9825581395348837,0.21024489918601597,517.5
dg-general,400,0.33682145758554904,0.24707794475871986,0.26644238603484843,179,0.7206703910614525,125,3,0.976,0.8291230935384453,3,147,0.8503401360544217,3,2,172,0.9593023255813954,0.4625388859304844,752.5
dg-medical,400,0.32421609278606545,0.22835975714391682,0.2956556993159485,179,0.8100558659217877,145,6,0.9586206896551724,0.8780987234784124,3,147,0.8231292517006803,6,2,172,0.9651162790697675,0.4625388859304844,876.0
gemini,400,0.3329870282806511,0.26167632041325306,0.21415461207484424,179,0.7150837988826816,128,12,0.90625,0.7993970065683212,4,147,0.8231292517006803,8,1,172,0.9476744186046512,0.0,4111.5
whisper,400,0.3377120423689095,0.2776022127230389,0.17799137165564227,179,0.6145251396648045,89,2,0.9775280898876404,0.7546425895990221,3,147,0.8027210884353742,2,1,172,0.9244186046511628,0.0,952.5
