clip_id,provider,accent,tier,domain,duration,wer,drug_mentions,drug_correct,drug_substitution,drug_deletion,doses,dose_correct,dose_value_error,dose_unit_error,dose_missing,negation_cues,negation_preserved,negation_lost
1ab41137caf537cf2d196c3914d95b48,aai,isizulu,B,clinical,13.070997732426305,0.1,1,0,0,1,0,0,0,0,0,0,0,0
1c71e30de1f98989413636726f093c05,aai,xhosa,B,general,16.863990929705214,0.0,0,0,0,0,0,0,0,0,0,1,1,0
1ca8b542d191644cbd70ad4b136fa4ba,aai,igala,B,clinical,3.743990929705216,0.1111111111111111,0,0,0,0,0,0,0,0,0,1,1,0
1dda8dca0b084c03fc5ea2a901de6043,aai,igbo,A,clinical,27.0,0.06060606060606061,0,0,0,0,3,3,0,0,0,0,0,0
1e1f4d7a25294e5853a6c798329b69b9,aai,swahili,A,general,9.162993197278912,0.13043478260869565,0,0,0,0,0,0,0,0,0,1,0,1
1e7230cd634da25dd5ab1f72ad1bde18,aai,xhosa,B,clinical,19.89897959183673,0.1875,0,0,0,0,0,0,0,0,0,2,2,0
1ed939ce62c5672b88f5e3810e0c1757,aai,gbagyi,C,clinical,24.0,0.05555555555555555,0,0,0,0,1,1,0,0,0,0,0,0
1efa1d7cf13f33924ba9fdac9e291aa6,aai,ngas,C,clinical,5.590997732426303,0.0,0,0,0,0,0,0,0,0,0,0,0,0
20523bffa88b473a5842269b698df45f,aai,ijaw,A,general,4.881,0.1111111111111111,0,0,0,0,0,0,0,0,0,1,1,0
20d0b5e49fb27db230bccda1d2c38946,aai,delta,C,clinical,14.202993197278907,0.2,0,0,0,0,1,1,0,0,0,0,0,0
20fdceadef3a23b47cd9a253b156d2d8,aai,fulani,C,general,17.60698412698413,0.02857142857142857,0,0,0,0,0,0,0,0,0,1,1,0
21db7f42514ac22490b63d6887cba22f,aai,isizulu,B,clinical,5.9289795918367325,0.07142857142857142,1,1,0,0,0,0,0,0,0,0,0,0
21dcea0a9c98e415d126fa38c3e09e72,aai,swahili,A,clinical,16.56798185941043,0.23809523809523808,1,0,0,1,0,0,0,0,0,0,0,0
22347a0c96066c23a0b4037028963e8c,aai,kinyarwanda,B,clinical,10.690997732426307,0.0,1,1,0,0,0,0,0,0,0,0,0,0
225a3473f8acdee624166c0a4024d862,aai,urhobo,B,general,20.21,0.08333333333333333,0,0,0,0,0,0,0,0,0,2,2,0
233b65fe511818e326eff9bffdc2bf6f,aai,hausa,A,clinical,5.648979591836735,0.3333333333333333,0,0,0,0,1,0,0,0,1,0,0,0
23af1c6428d96f4537acf845c51b9085,aai,ijaw,A,clinical,5.330997732426304,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
24e4da52fc2d6869251f9c9de581409c,aai,ekpeye,C,clinical,23.05,0.16666666666666666,0,0,0,0,2,2,0,0,0,0,0,0
2506c71ecd6600407bd2621dd3398bde,aai,ijaw,A,clinical,3.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0
25735aa40f226325a3c0d19bfb711d78,aai,ebira,B,clinical,12.830997732426304,0.047619047619047616,0,0,0,0,0,0,0,0,0,0,0,0
259ef25570bd0721f0c949aefaf69437,aai,bekwarra,C,clinical,3.2910000000000004,0.125,0,0,0,0,0,0,0,0,0,0,0,0
25dead43f9b4f15ff2360caf740a560c,aai,yoruba,A,clinical,10.0,0.0,0,0,0,0,2,2,0,0,0,0,0,0
25e6f14ac3404b1e020eb1279816f8f0,aai,hausa,A,clinical,3.226984126984127,0.0,0,0,0,0,0,0,0,0,0,1,1,0
2642efa06e8a4c32bc730201ae6b8110,aai,xhosa,B,clinical,10.437981859410431,0.0,1,1,0,0,0,0,0,0,0,0,0,0
26ca556c583cb56cb91e2549ee5b1899,aai,esan,B,clinical,7.546984126984127,0.0,0,0,0,0,0,0,0,0,0,0,0,0
