provider,accent,clips,wer,drug_mentions,drug_accuracy,drug_substitutions,doses,dose_value_accuracy,dose_value_errors,dose_unit_errors,negation_cues,negation_preservation
aai,pidgin,7,0.0869686293027254,1,0.0,0,1,1.0,0,0,3,1.0
aai,sepedi,1,0.0,1,1.0,0,0,,0,0,0,
aai,sesotho,1,0.05263157894736842,1,1.0,0,0,,0,0,0,
aai,setswana,7,0.11998132586367881,3,1.0,0,0,,0,0,2,0.5
aai,sotho,1,0.0,0,,0,0,,0,0,1,1.0
aai,swahili,26,0.0375591799504843,11,0.9090909090909091,0,5,1.0,0,0,19,0.9473684210526315
aai,tshivenda,1,0.0,0,,0,0,,0,0,1,1.0
aai,tswana,7,0.04166666666666667,0,,0,1,1.0,0,0,0,
aai,twi,7,0.11840736294517806,2,1.0,0,0,,0,0,4,1.0
aai,ukwuani,1,0.2,0,,0,1,1.0,0,0,0,
aai,urhobo,7,0.04047619047619048,0,,0,1,1.0,0,0,4,1.0
aai,xhosa,7,0.06369047619047619,2,1.0,0,0,,0,0,3,1.0
aai,yoruba,26,0.12427584927584927,6,1.0,0,12,0.9166666666666666,0,0,19,0.9473684210526315
aai,zulu,7,0.1255478850579133,3,0.6666666666666666,0,1,1.0,0,0,3,1.0
dg-general,afemai,1,0.36,0,,0,1,1.0,0,0,0,
dg-general,afo,3,0.6180555555555555,1,1.0,0,0,,0,0,1,1.0
dg-general,afrikaans,2,0.3666666666666667,0,,0,0,,0,0,2,1.0
dg-general,agatu,2,0.6666666666666666,0,,0,1,0.0,0,0,1,1.0
dg-general,akan,3,0.26251207729468595,2,0.5,0,0,,0,0,2,1.0
dg-general,alago,1,0.09090909090909091,0,,0,0,,0,0,1,1.0
dg-general,anaang,3,0.15128205128205127,2,1.0,0,1,1.0,0,0,3,1.0
dg-general,angas,3,0.33641975308641975,0,,0,1,1.0,0,0,4,1.0
dg-general,bagi,2,0.4222222222222222,1,1.0,0,2,1.0,0,0,0,
dg-general,bajju,3,0.2108294930875576,0,,0,2,1.0,0,0,1,1.0
dg-general,bassa,2,0.11805555555555555,4,1.0,0,3,1.0,0,0,0,
dg-general,bekwarra,3,0.3458624708624709,1,1.0,0,0,,0,0,1,1.0
